month,day,hour,poa_wm2,dn_wm2,df_wm2,dc_w,ac_w,tamb_c,tcell_c,wspd_ms,albedo
1,1,0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,2.1,0.14
1,1,1,0.0,0.0,0.0,0.0,0.0,23.0,23.0,2.1,0.14
1,1,2,0.0,0.0,0.0,0.0,0.0,23.0,23.0,2.3,0.14
1,1,3,0.0,0.0,0.0,0.0,0.0,23.0,23.0,2.5,0.14
1,1,4,0.0,0.0,0.0,0.0,0.0,23.0,23.0,2.7,0.14
1,1,5,0.0,0.0,0.0,0.0,0.0,23.0,23.0,3.0,0.14
1,1,6,0.0,0.0,0.0,0.0,0.0,23.0,23.0,3.2,0.14
1,1,7,37.56,255.0,22.0,15024.812,10528.861,24.0,24.475,3.5,0.14
1,1,8,181.818,315.0,96.0,163622.115,153860.77,24.0,27.287,3.6,0.14
1,1,9,311.244,268.0,190.0,298921.961,284366.405,24.0,29.807,3.5,0.14
1,1,10,449.095,321.0,259.0,429588.802,410403.2,24.0,32.645,3.3,0.14
1,1,11,712.19,918.0,86.0,676955.513,649004.725,24.0,37.972,3.2,0.14
1,1,12,753.612,931.0,87.0,708265.361,679205.141,25.0,40.274,3.0,0.14
1,1,13,724.305,923.0,86.0,683387.019,655208.337,25.0,39.686,3.0,0.14
1,1,14,456.291,297.0,275.0,433384.387,414064.293,25.0,33.921,3.2,0.14
1,1,15,269.42,118.0,213.0,256732.762,243672.136,25.0,30.023,3.5,0.14
1,1,16,131.763,42.0,119.0,123109.772,114783.941,25.0,27.415,3.6,0.14
1,1,17,25.0,0.0,25.0,20103.025,15427.132,25.0,25.448,3.6,0.14
1,1,18,0.0,0.0,0.0,0.0,0.0,25.0,25.0,3.6,0.14
1,1,19,0.0,0.0,0.0,0.0,0.0,24.0,24.0,3.8,0.14
1,1,20,0.0,0.0,0.0,0.0,0.0,24.0,24.0,3.9,0.14
1,1,21,0.0,0.0,0.0,0.0,0.0,24.0,24.0,4.1,0.14
1,1,22,0.0,0.0,0.0,0.0,0.0,24.0,24.0,4.3,0.14
1,1,23,0.0,0.0,0.0,0.0,0.0,24.0,24.0,4.5,0.14
1,2,0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,4.9,0.14
1,2,1,0.0,0.0,0.0,0.0,0.0,24.0,24.0,5.1,0.14
1,2,2,0.0,0.0,0.0,0.0,0.0,24.0,24.0,5.3,0.14
1,2,3,0.0,0.0,0.0,0.0,0.0,24.0,24.0,5.4,0.14
1,2,4,0.0,0.0,0.0,0.0,0.0,24.0,24.0,5.3,0.14
1,2,5,0.0,0.0,0.0,0.0,0.0,24.0,24.0,5.1,0.14
1,2,6,0.0,0.0,0.0,0.0,0.0,24.0,24.0,5.1,0.14
1,2,7,12.0,0.0,12.0,6413.313,2222.501,24.0,24.146,5.4,0.14
1,2,8,80.0,0.0,80.0,74482.989,67880.198,24.0,25.087,5.9,0.14
1,2,9,252.338,118.0,199.0,242545.334,229987.426,24.0,27.351,6.1,0.14
1,2,10,394.676,197.0,278.0,380049.422,362619.197,24.0,29.124,6.3,0.14
1,2,11,552.906,369.0,301.0,529007.857,506299.443,25.0,32.026,6.5,0.14
1,2,12,285.341,20.0,271.0,268338.43,254866.57,25.0,28.497,6.8,0.14
1,2,13,711.229,856.0,118.0,686136.117,657860.024,25.0,33.614,7.0,0.14
1,2,14,343.164,95.0,285.0,327392.825,311828.433,25.0,29.094,7.1,0.14
1,2,15,463.129,779.0,89.0,453411.443,433381.71,25.0,30.508,7.2,0.14
1,2,16,102.0,0.0,102.0,95970.7,88606.514,24.0,25.233,7.0,0.14
1,2,17,55.241,187.0,36.0,38542.914,33213.622,24.0,24.645,6.5,0.14
1,2,18,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.3,0.14
1,2,19,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.3,0.14
1,2,20,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.3,0.14
1,2,21,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.4,0.14
1,2,22,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.6,0.14
1,2,23,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.6,0.14
1,3,0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.6,0.14
1,3,1,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.6,0.14
1,3,2,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.5,0.14
1,3,3,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.4,0.14
1,3,4,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.3,0.14
1,3,5,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.3,0.14
1,3,6,0.0,0.0,0.0,0.0,0.0,24.0,24.0,6.4,0.14
1,3,7,35.134,211.0,23.0,14766.629,10279.826,24.0,24.309,6.7,0.14
1,3,8,8.0,0.0,8.0,6685.204,2484.759,24.0,24.096,7.1,0.14
1,3,9,65.0,0.0,65.0,59715.646,53636.12,24.0,24.761,7.3,0.14
1,3,10,325.318,90.0,272.0,310736.366,295762.179,25.0,28.769,7.4,0.14
1,3,11,539.96,338.0,309.0,517475.303,495175.533,25.0,31.262,7.4,0.14
