day_set,season,season_label,days_averaged,hour,poa_wm2,dn_wm2,df_wm2,dc_w,ac_w,tamb_c,tcell_c,wspd_ms,albedo
weekdays,winter,Winter,64,0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,5.267,0.141
weekdays,winter,Winter,64,1,0.0,0.0,0.0,0.0,0.0,22.922,22.922,5.148,0.141
weekdays,winter,Winter,64,2,0.0,0.0,0.0,0.0,0.0,22.906,22.906,5.059,0.141
weekdays,winter,Winter,64,3,0.0,0.0,0.0,0.0,0.0,22.859,22.859,5.006,0.141
weekdays,winter,Winter,64,4,0.0,0.0,0.0,0.0,0.0,22.844,22.844,5.002,0.141
weekdays,winter,Winter,64,5,0.0,0.0,0.0,0.0,0.0,22.875,22.875,5.078,0.141
weekdays,winter,Winter,64,6,0.0,0.0,0.0,0.0,0.0,22.938,22.938,5.194,0.141
weekdays,winter,Winter,64,7,41.592,187.578,25.984,24467.902,19907.483,23.047,23.221,5.497,0.141
weekdays,winter,Winter,64,8,198.143,406.422,77.578,179807.072,169472.23,23.438,26.518,5.789,0.141
weekdays,winter,Winter,64,9,349.648,446.969,134.688,338917.426,322944.671,23.562,29.191,5.878,0.141
weekdays,winter,Winter,64,10,499.255,525.125,169.656,480898.792,459895.073,23.719,31.563,5.823,0.141
weekdays,winter,Winter,64,11,571.978,485.938,221.859,543024.051,519818.987,23.953,33.104,5.678,0.141
weekdays,winter,Winter,64,12,631.383,547.734,214.328,596495.21,571378.751,24.078,34.308,5.547,0.141
weekdays,winter,Winter,64,13,606.7,550.766,198.516,573949.482,549648.607,24.156,34.083,5.473,0.141
weekdays,winter,Winter,64,14,488.66,442.547,200.625,466617.859,446120.171,24.203,32.182,5.427,0.141
weekdays,winter,Winter,64,15,380.534,426.859,153.047,367211.07,350235.759,24.156,30.376,5.434,0.141
weekdays,winter,Winter,64,16,215.67,338.766,95.062,201628.884,190520.809,23.969,27.539,5.416,0.141
weekdays,winter,Winter,64,17,72.31,204.812,41.141,55489.019,49641.332,23.75,24.928,5.353,0.141
weekdays,winter,Winter,64,18,0.0,0.0,0.0,0.0,0.0,23.625,20.688,5.362,0.141
weekdays,winter,Winter,64,19,0.0,0.0,0.0,0.0,0.0,23.422,23.422,5.441,0.141
weekdays,winter,Winter,64,20,0.0,0.0,0.0,0.0,0.0,23.344,23.344,5.484,0.141
weekdays,winter,Winter,64,21,0.0,0.0,0.0,0.0,0.0,23.297,23.297,5.503,0.141
weekdays,winter,Winter,64,22,0.0,0.0,0.0,0.0,0.0,23.172,23.172,5.461,0.141
weekdays,winter,Winter,64,23,0.0,0.0,0.0,0.0,0.0,23.125,23.125,5.33,0.141
weekdays,spring,Spring,66,0,0.0,0.0,0.0,0.0,0.0,23.197,23.197,4.309,0.145
weekdays,spring,Spring,66,1,0.0,0.0,0.0,0.0,0.0,23.076,23.076,4.186,0.145
weekdays,spring,Spring,66,2,0.0,0.0,0.0,0.0,0.0,22.939,22.939,4.115,0.145
weekdays,spring,Spring,66,3,0.0,0.0,0.0,0.0,0.0,22.924,22.924,4.089,0.145
weekdays,spring,Spring,66,4,0.0,0.0,0.0,0.0,0.0,22.894,22.894,4.106,0.145
weekdays,spring,Spring,66,5,0.0,0.0,0.0,0.0,0.0,22.894,22.894,4.253,0.145
weekdays,spring,Spring,66,6,31.872,110.53,18.53,22018.495,18821.919,23.015,21.248,4.591,0.145
weekdays,spring,Spring,66,7,178.881,356.621,71.424,161978.093,152300.708,23.318,26.578,4.944,0.145
weekdays,spring,Spring,66,8,386.464,512.833,124.106,373746.86,356539.96,23.53,30.299,5.108,0.145
weekdays,spring,Spring,66,9,544.355,493.53,200.303,518313.033,495983.579,23.788,33.098,5.159,0.145
