date,hour,poa_wm2,dn_wm2,df_wm2,tamb_c,wspd_ms,zenith_deg,dc_w,ac_w
2012-01-01,0,0,0,0,23.0,3.8,177.97,0.0,0.0
2012-01-01,1,0,0,0,22.9,3.6,167.06,0.0,0.0
2012-01-01,2,0,0,0,22.8,3.4,153.27,0.0,0.0
2012-01-01,3,0,0,0,22.7,3.3,139.51,0.0,0.0
2012-01-01,4,0,0,0,22.7,3.3,125.86,0.0,0.0
2012-01-01,5,0,0,0,22.7,3.5,112.38,0.0,0.0
2012-01-01,6,0,0,0,22.8,3.6,99.18,0.0,0.0
2012-01-01,7,43,326,21,23.1,3.9,86.19,184900.0,159488.775
2012-01-01,8,239,702,48,23.5,4.0,74.19,1027700.0,982712.688
2012-01-01,9,441,838,62,23.7,3.9,63.1,1896300.0,1824710.459
2012-01-01,10,605,906,69,24.0,3.6,53.69,2601500.0,2503514.278
2012-01-01,11,706,894,96,24.2,3.3,46.99,3035800.0,2919418.493
2012-01-01,12,748,913,95,24.5,2.9,44.28,3216400.0,3091888.64
2012-01-01,13,719,908,92,24.7,2.5,46.26,3091700.0,2972832.248
2012-01-01,14,623,888,82,24.9,2.2,52.39,2678900.0,2577755.252
2012-01-01,15,468,828,72,25.0,2.1,61.45,2012400.0,1936760.445
2012-01-01,16,270,699,58,25.0,2.1,72.32,1161000.0,1112353.931
2012-01-01,17,67,375,30,24.7,2.3,84.24,288100.0,260621.696
2012-01-01,18,0,0,0,24.4,2.5,97.08,0.0,0.0
2012-01-01,19,0,0,0,24.2,2.6,110.23,0.0,0.0
2012-01-01,20,0,0,0,24.0,2.5,123.67,0.0,0.0
2012-01-01,21,0,0,0,23.8,2.3,137.31,0.0,0.0
2012-01-01,22,0,0,0,23.6,1.9,151.06,0.0,0.0
2012-01-01,23,0,0,0,23.5,1.4,164.86,0.0,0.0
2012-01-02,0,0,0,0,23.5,1.0,177.98,0.0,0.0
2012-01-02,1,0,0,0,23.4,0.7,167.17,0.0,0.0
2012-01-02,2,0,0,0,23.3,0.7,153.37,0.0,0.0
2012-01-02,3,0,0,0,23.2,0.8,139.61,0.0,0.0
2012-01-02,4,0,0,0,23.2,0.8,125.95,0.0,0.0
2012-01-02,5,0,0,0,23.2,0.8,112.46,0.0,0.0
2012-01-02,6,0,0,0,23.2,0.7,99.25,0.0,0.0
2012-01-02,7,41,281,22,23.3,0.8,86.25,176300.0,151056.875
2012-01-02,8,238,677,54,23.6,0.9,74.23,1023400.0,978528.154
2012-01-02,9,441,827,68,23.9,1.1,63.13,1896300.0,1824710.459
2012-01-02,10,608,901,75,24.2,1.4,53.68,2614400.0,2515891.371
2012-01-02,11,712,905,94,24.6,1.7,46.95,3061600.0,2944074.353
2012-01-02,12,755,923,94,24.9,2.0,44.2,3246500.0,3120606.245
2012-01-02,13,725,917,90,25.1,2.1,46.14,3117500.0,2997475.637
2012-01-02,14,611,804,120,25.2,2.2,52.26,2627300.0,2528267.025
2012-01-02,15,456,734,104,25.2,2.2,61.31,1960800.0,1886974.84
2012-01-02,16,261,588,81,25.1,2.1,72.18,1122300.0,1074731.979
2012-01-02,17,63,239,39,24.9,1.7,84.1,270900.0,243772.605
2012-01-02,18,0,0,0,24.7,1.1,96.95,0.0,0.0
2012-01-02,19,0,0,0,24.5,1.1,110.11,0.0,0.0
2012-01-02,20,0,0,0,24.2,1.7,123.55,0.0,0.0
2012-01-02,21,0,0,0,24.1,1.7,137.19,0.0,0.0
2012-01-02,22,0,0,0,24.0,1.0,150.95,0.0,0.0
2012-01-02,23,0,0,0,23.8,1.1,164.76,0.0,0.0
2012-01-03,0,0,0,0,23.7,1.8,177.98,0.0,0.0
2012-01-03,1,0,0,0,23.6,2.2,167.29,0.0,0.0
2012-01-03,2,0,0,0,23.5,2.1,153.48,0.0,0.0
2012-01-03,3,0,0,0,23.4,1.7,139.7,0.0,0.0
2012-01-03,4,0,0,0,23.4,1.5,126.03,0.0,0.0
2012-01-03,5,0,0,0,23.4,1.5,112.54,0.0,0.0
2012-01-03,6,0,0,0,23.5,1.6,99.32,0.0,0.0
2012-01-03,7,18,0,18,23.7,1.7,86.31,77400.0,54044.055
2012-01-03,8,98,2,98,24.0,1.9,74.28,421400.0,391115.422
2012-01-03,9,433,797,73,24.4,2.1,63.15,1861900.0,1791488.08
2012-01-03,10,600,877,80,24.9,2.1,53.67,2580000.0,2482882.592
2012-01-03,11,702,877,103,25.2,2.0,46.9,3018600.0,2902978.056
2012-01-03,12,746,896,102,25.4,1.8,44.1,3207800.0,3083682.171
2012-01-03,13,717,890,99,25.5,1.8,46.02,3083100.0,2964616.506
2012-01-03,14,383,78,335,25.6,1.9,52.12,1646900.0,1583616.383
2012-01-03,15,462,771,90,25.5,2.2,61.17,1986600.0,1911870.521
2012-01-03,16,264,623,72,25.4,2.8,72.04,1135200.0,1087274.068
2012-01-03,17,66,282,36,25.1,3.4,83.97,283800.0,256409.663
2012-01-03,18,0,0,0,24.7,3.8,96.82,0.0,0.0
2012-01-03,19,0,0,0,24.5,4.1,109.98,0.0,0.0
2012-01-03,20,0,0,0,24.2,4.4,123.43,0.0,0.0
2012-01-03,21,0,0,0,24.0,4.5,137.07,0.0,0.0
2012-01-03,22,0,0,0,23.9,4.5,150.84,0.0,0.0
2012-01-03,23,0,0,0,23.7,4.3,164.66,0.0,0.0
2012-01-04,0,0,0,0,23.7,4.3,177.99,0.0,0.0
2012-01-04,1,0,0,0,23.6,4.2,167.4,0.0,0.0
2012-01-04,2,0,0,0,23.5,4.3,153.58,0.0,0.0
2012-01-04,3,0,0,0,23.5,4.4,139.8,0.0,0.0
2012-01-04,4,0,0,0,23.5,4.5,126.12,0.0,0.0
2012-01-04,5,0,0,0,23.6,4.7,112.62,0.0,0.0
2012-01-04,6,0,0,0,23.8,4.9,99.39,0.0,0.0
2012-01-04,7,21,0,21,24.1,5.3,86.36,90300.0,66702.698
2012-01-04,8,164,71,144,24.5,5.6,74.31,705200.0,668428.995
2012-01-04,9,16,0,16,24.7,5.6,63.16,68800.0,45604.161
2012-01-04,10,176,0,176,24.9,5.5,53.65,756800.0,718774.821
2012-01-04,11,639,495,301,25.2,5.2,46.84,2747700.0,2643703.741
2012-01-04,12,246,1,246,25.3,4.9,44.01,1057800.0,1011999.947
2012-01-04,13,490,139,393,25.4,4.7,45.89,2107000.0,2027974.258
2012-01-04,14,458,159,360,25.4,4.6,51.97,1969400.0,1895274.04
