day_set,season,season_label,days_averaged,hour,n_days,poa_wm2,dc_w,ac_w
weekdays,winter,Winter,64,0,64,0.0,0.0,0.0
weekdays,winter,Winter,64,1,64,0.0,0.0,0.0
weekdays,winter,Winter,64,2,64,0.0,0.0,0.0
weekdays,winter,Winter,64,3,64,0.0,0.0,0.0
weekdays,winter,Winter,64,4,64,0.0,0.0,0.0
weekdays,winter,Winter,64,5,64,0.0,0.0,0.0
weekdays,winter,Winter,64,6,64,0.0,0.0,0.0
weekdays,winter,Winter,64,7,64,45.516,195717.188,170072.005
weekdays,winter,Winter,64,8,64,193.016,829967.188,789682.452
weekdays,winter,Winter,64,9,64,319.109,1372170.312,1315655.815
weekdays,winter,Winter,64,10,64,469.469,2018715.625,1940490.061
weekdays,winter,Winter,64,11,64,581.969,2502465.625,2405945.972
weekdays,winter,Winter,64,12,64,568.219,2443340.625,2338283.749
weekdays,winter,Winter,64,13,64,590.922,2540964.062,2438012.94
weekdays,winter,Winter,64,14,64,506.031,2175934.375,2091232.586
weekdays,winter,Winter,64,15,64,376.625,1619487.5,1555075.95
weekdays,winter,Winter,64,16,64,242.047,1040801.562,994455.964
weekdays,winter,Winter,64,17,64,83.688,359856.25,330702.641
weekdays,winter,Winter,64,18,64,0.0,0.0,0.0
weekdays,winter,Winter,64,19,64,0.0,0.0,0.0
weekdays,winter,Winter,64,20,64,0.0,0.0,0.0
weekdays,winter,Winter,64,21,64,0.0,0.0,0.0
weekdays,winter,Winter,64,22,64,0.0,0.0,0.0
weekdays,winter,Winter,64,23,64,0.0,0.0,0.0
weekdays,spring,Spring,66,0,66,0.0,0.0,0.0
weekdays,spring,Spring,66,1,66,0.0,0.0,0.0
weekdays,spring,Spring,66,2,66,0.0,0.0,0.0
weekdays,spring,Spring,66,3,66,0.0,0.0,0.0
weekdays,spring,Spring,66,4,66,0.0,0.0,0.0
weekdays,spring,Spring,66,5,66,0.0,0.0,0.0
weekdays,spring,Spring,66,6,66,36.439,156689.394,139044.862
weekdays,spring,Spring,66,7,66,168.848,726048.485,688060.891
weekdays,spring,Spring,66,8,66,341.121,1466821.212,1406707.021
weekdays,spring,Spring,66,9,66,488.061,2098660.606,2015167.597
weekdays,spring,Spring,66,10,66,644.121,2769721.212,2609074.676
weekdays,spring,Spring,66,11,66,722.742,3107792.424,2783469.044
weekdays,spring,Spring,66,12,66,785.879,3379278.788,2903537.319
weekdays,spring,Spring,66,13,66,780.121,3354521.212,2939841.779
weekdays,spring,Spring,66,14,66,678.515,2917615.152,2761633.892
weekdays,spring,Spring,66,15,66,535.803,2303953.03,2213607.164
weekdays,spring,Spring,66,16,66,386.985,1664034.848,1598284.377
weekdays,spring,Spring,66,17,66,205.076,881825.758,840000.704
weekdays,spring,Spring,66,18,66,39.879,171478.788,146728.244
weekdays,spring,Spring,66,19,66,0.0,0.0,0.0
weekdays,spring,Spring,66,20,66,0.0,0.0,0.0
weekdays,spring,Spring,66,21,66,0.0,0.0,0.0
weekdays,spring,Spring,66,22,66,0.0,0.0,0.0
weekdays,spring,Spring,66,23,66,0.0,0.0,0.0
weekdays,summer,Summer,66,0,66,0.0,0.0,0.0
weekdays,summer,Summer,66,1,66,0.0,0.0,0.0
weekdays,summer,Summer,66,2,66,0.0,0.0,0.0
weekdays,summer,Summer,66,3,66,0.0,0.0,0.0
weekdays,summer,Summer,66,4,66,0.0,0.0,0.0
weekdays,summer,Summer,66,5,66,0.0,0.0,0.0
weekdays,summer,Summer,66,6,66,61.121,262821.212,235817.059
weekdays,summer,Summer,66,7,66,223.712,961962.121,918091.783
weekdays,summer,Summer,66,8,66,392.742,1688792.424,1622407.584
weekdays,summer,Summer,66,9,66,591.894,2545143.939,2446963.468
weekdays,summer,Summer,66,10,66,670.773,2884322.727,2748646.576
weekdays,summer,Summer,66,11,66,777.333,3342533.333,2970730.759
weekdays,summer,Summer,66,12,66,849.015,3650765.152,3114036.029
weekdays,summer,Summer,66,13,66,871.924,3749274.242,3211491.612
weekdays,summer,Summer,66,14,66,790.227,3397977.273,3169881.672
weekdays,summer,Summer,66,15,66,655.652,2819301.515,2710326.075
weekdays,summer,Summer,66,16,66,487.97,2098269.697,2018653.094
weekdays,summer,Summer,66,17,66,286.348,1231298.485,1180301.455
weekdays,summer,Summer,66,18,66,84.045,361395.455,332338.756
weekdays,summer,Summer,66,19,66,0.0,0.0,0.0
weekdays,summer,Summer,66,20,66,0.0,0.0,0.0
weekdays,summer,Summer,66,21,66,0.0,0.0,0.0
weekdays,summer,Summer,66,22,66,0.0,0.0,0.0
weekdays,summer,Summer,66,23,66,0.0,0.0,0.0
weekdays,fall,Fall,65,0,65,0.0,0.0,0.0
weekdays,fall,Fall,65,1,65,0.0,0.0,0.0
weekdays,fall,Fall,65,2,65,0.0,0.0,0.0
weekdays,fall,Fall,65,3,65,0.0,0.0,0.0
weekdays,fall,Fall,65,4,65,0.0,0.0,0.0
weekdays,fall,Fall,65,5,65,0.0,0.0,0.0
weekdays,fall,Fall,65,6,65,5.877,25270.769,16745.299
weekdays,fall,Fall,65,7,65,130.862,562704.615,529009.502
weekdays,fall,Fall,65,8,65,298.692,1284376.923,1230855.494
weekdays,fall,Fall,65,9,65,459.708,1976743.077,1899941.698
weekdays,fall,Fall,65,10,65,575.831,2476072.308,2379079.685
weekdays,fall,Fall,65,11,65,641.815,2759806.154,2584562.77
weekdays,fall,Fall,65,12,65,665.462,2861484.615,2648661.436
