Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,25243,-,-,-,21.29,-157.82,-10,40,-10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed,Solar Zenith Angle
2012,1,1,0,30,0,0,0,23,3.8000000000000003,177.97
2012,1,1,1,30,0,0,0,22.900000000000002,3.6,167.06
2012,1,1,2,30,0,0,0,22.8,3.4000000000000004,153.27
2012,1,1,3,30,0,0,0,22.700000000000003,3.3000000000000003,139.51
2012,1,1,4,30,0,0,0,22.700000000000003,3.3000000000000003,125.86
2012,1,1,5,30,0,0,0,22.700000000000003,3.5,112.38
2012,1,1,6,30,0,0,0,22.8,3.6,99.18
2012,1,1,7,30,43,326,21,23.1,3.9000000000000004,86.19
2012,1,1,8,30,239,702,48,23.5,4,74.19
2012,1,1,9,30,441,838,62,23.700000000000003,3.9000000000000004,63.1
2012,1,1,10,30,605,906,69,24,3.6,53.69
2012,1,1,11,30,706,894,96,24.200000000000003,3.3000000000000003,46.99
2012,1,1,12,30,748,913,95,24.5,2.9000000000000004,44.28
2012,1,1,13,30,719,908,92,24.700000000000003,2.5,46.26
2012,1,1,14,30,623,888,82,24.900000000000002,2.2,52.39
2012,1,1,15,30,468,828,72,25,2.1,61.45
2012,1,1,16,30,270,699,58,25,2.1,72.32000000000001
2012,1,1,17,30,67,375,30,24.700000000000003,2.3000000000000003,84.24
2012,1,1,18,30,0,0,0,24.400000000000002,2.5,97.08
2012,1,1,19,30,0,0,0,24.200000000000003,2.6,110.23
2012,1,1,20,30,0,0,0,24,2.5,123.67
2012,1,1,21,30,0,0,0,23.8,2.3000000000000003,137.31
2012,1,1,22,30,0,0,0,23.6,1.9000000000000001,151.06
2012,1,1,23,30,0,0,0,23.5,1.4000000000000001,164.86
2012,1,2,0,30,0,0,0,23.5,1,177.98
2012,1,2,1,30,0,0,0,23.400000000000002,0.7000000000000001,167.17000000000002
2012,1,2,2,30,0,0,0,23.3,0.7000000000000001,153.37
2012,1,2,3,30,0,0,0,23.200000000000003,0.8,139.61
2012,1,2,4,30,0,0,0,23.200000000000003,0.8,125.95
2012,1,2,5,30,0,0,0,23.200000000000003,0.8,112.46000000000001
2012,1,2,6,30,0,0,0,23.200000000000003,0.7000000000000001,99.25
2012,1,2,7,30,41,281,22,23.3,0.8,86.25
2012,1,2,8,30,238,677,54,23.6,0.9,74.23
2012,1,2,9,30,441,827,68,23.900000000000002,1.1,63.13
2012,1,2,10,30,608,901,75,24.200000000000003,1.4000000000000001,53.68
2012,1,2,11,30,712,905,94,24.6,1.7000000000000002,46.95
2012,1,2,12,30,755,923,94,24.900000000000002,2,44.2
2012,1,2,13,30,725,917,90,25.1,2.1,46.14
2012,1,2,14,30,611,804,120,25.200000000000003,2.2,52.26
2012,1,2,15,30,456,734,104,25.200000000000003,2.2,61.31
2012,1,2,16,30,261,588,81,25.1,2.1,72.18
2012,1,2,17,30,63,239,39,24.900000000000002,1.7000000000000002,84.10000000000001
2012,1,2,18,30,0,0,0,24.700000000000003,1.1,96.95
2012,1,2,19,30,0,0,0,24.5,1.1,110.11
2012,1,2,20,30,0,0,0,24.200000000000003,1.7000000000000002,123.55
2012,1,2,21,30,0,0,0,24.1,1.7000000000000002,137.19
2012,1,2,22,30,0,0,0,24,1,150.95000000000002
2012,1,2,23,30,0,0,0,23.8,1.1,164.76
2012,1,3,0,30,0,0,0,23.700000000000003,1.8,177.98
2012,1,3,1,30,0,0,0,23.6,2.2,167.29
2012,1,3,2,30,0,0,0,23.5,2.1,153.48
2012,1,3,3,30,0,0,0,23.400000000000002,1.7000000000000002,139.70000000000002
2012,1,3,4,30,0,0,0,23.400000000000002,1.5,126.03
2012,1,3,5,30,0,0,0,23.400000000000002,1.5,112.54
2012,1,3,6,30,0,0,0,23.5,1.6,99.32000000000001
2012,1,3,7,30,18,0,18,23.700000000000003,1.7000000000000002,86.31
2012,1,3,8,30,98,2,98,24,1.9000000000000001,74.28
2012,1,3,9,30,433,797,73,24.400000000000002,2.1,63.15
2012,1,3,10,30,600,877,80,24.900000000000002,2.1,53.67
2012,1,3,11,30,702,877,103,25.200000000000003,2,46.9
2012,1,3,12,30,746,896,102,25.400000000000002,1.8,44.1
2012,1,3,13,30,717,890,99,25.5,1.8,46.02
2012,1,3,14,30,383,78,335,25.6,1.9000000000000001,52.120000000000005
2012,1,3,15,30,462,771,90,25.5,2.2,61.17
2012,1,3,16,30,264,623,72,25.400000000000002,2.8000000000000003,72.04
2012,1,3,17,30,66,282,36,25.1,3.4000000000000004,83.97
2012,1,3,18,30,0,0,0,24.700000000000003,3.8000000000000003,96.82000000000001
2012,1,3,19,30,0,0,0,24.5,4.1000000000000005,109.98
2012,1,3,20,30,0,0,0,24.200000000000003,4.4,123.43
2012,1,3,21,30,0,0,0,24,4.5,137.07
2012,1,3,22,30,0,0,0,23.900000000000002,4.5,150.84
2012,1,3,23,30,0,0,0,23.700000000000003,4.3,164.66
2012,1,4,0,30,0,0,0,23.700000000000003,4.3,177.99
