date,hour,n_slots_of_12,poa_wm2,dc_w,ac_w
2012-01-03,16,12,21.922,94266.159,70594.361
2012-01-03,17,12,0.18,772.711,0.0
2012-01-04,6,12,46.464,199795.78,174091.882
2012-01-04,7,12,269.451,1158639.943,1110059.987
2012-01-04,8,12,189.063,812969.633,773553.039
2012-01-04,9,11,376.428,1618639.808,1556263.434
2012-01-04,10,6,665.811,2862987.821,2754121.544
2012-01-04,11,12,540.193,2322828.756,2235787.803
2012-01-04,12,12,657.987,2829345.72,2721912.437
2012-01-04,13,12,394.91,1698113.865,1633168.523
2012-01-04,14,12,309.487,1330794.397,1277265.389
2012-01-04,15,12,149.567,643139.491,607846.414
2012-01-04,16,12,51.537,221610.632,195474.652
2012-01-04,17,12,1.168,5023.286,0.0
2012-01-05,6,12,56.166,241513.725,214979.939
2012-01-05,7,12,296.827,1276354.208,1224417.939
2012-01-05,8,12,562.237,2417617.19,2326928.793
2012-01-05,9,12,783.974,3371086.145,3239387.235
2012-01-05,10,12,820.472,3528029.085,3388826.31
2012-01-05,11,12,895.721,3851601.437,3583333.333
2012-01-05,12,12,860.523,3700247.085,3552565.02
2012-01-05,13,12,748.921,3220361.525,3095668.673
2012-01-05,14,12,574.098,2468620.115,2375936.986
2012-01-05,15,12,299.328,1287109.503,1234860.601
2012-01-05,16,12,74.156,318870.772,290758.312
2012-01-05,17,12,0.637,2737.808,0.0
2012-01-06,6,12,59.811,257189.181,230339.677
2012-01-06,7,12,301.393,1295988.844,1243481.086
2012-01-06,8,12,553.716,2380980.255,2291710.852
2012-01-06,9,12,557.048,2395307.851,2305484.905
2012-01-06,10,12,426.547,1834153.879,1764684.342
2012-01-06,11,12,570.022,2451094.438,2359099.277
2012-01-06,12,12,573.533,2466193.863,2373606.134
2012-01-06,13,12,764.099,3285626.293,3157923.885
2012-01-06,14,12,543.212,2335809.514,2248273.654
2012-01-06,15,12,323.783,1392267.98,1336909.653
2012-01-06,16,12,74.417,319993.873,291858.112
2012-01-06,17,12,0.637,2739.573,0.0
2012-01-07,6,12,59.862,257407.39,230553.476
2012-01-07,7,12,238.493,1025517.785,980589.091
2012-01-07,8,12,452.622,1946274.261,1872955.713
2012-01-07,9,12,548.824,2359943.175,2271483.319
2012-01-07,10,12,575.648,2475287.233,2382341.69
2012-01-07,11,12,516.821,2222331.26,2139072.583
2012-01-07,12,12,568.004,2442416.328,2350760.842
2012-01-07,13,12,698.606,3004003.654,2889024.287
2012-01-07,14,12,448.588,1928927.55,1856211.609
2012-01-07,15,12,325.003,1397513.68,1341997.739
2012-01-07,16,12,76.804,330256.681,301907.493
2012-01-07,17,12,0.782,3362.685,0.0
2012-01-08,6,12,44.616,191849.6,166302.068
2012-01-08,7,12,306.896,1319654.731,1266453.718
2012-01-08,8,12,467.137,2008688.249,1933179.978
2012-01-08,9,12,320.916,1379939.901,1324951.05
2012-01-08,10,12,462.909,1990509.452,1915642.44
2012-01-08,11,12,397.355,1708628.212,1643338.908
2012-01-08,12,12,502.698,2161602.586,2080587.134
2012-01-08,13,12,202.468,870614.522,829741.605
2012-01-08,14,12,408.87,1758140.435,1691218.555
2012-01-08,15,12,330.939,1423039.193,1366752.91
2012-01-08,16,12,62.587,269123.779,242032.476
2012-01-08,17,12,0.894,3843.257,0.0
2012-01-09,6,12,41.811,179787.079,154475.87
2012-01-09,7,12,296.404,1274538.711,1222655.116
2012-01-09,8,12,491.595,2113859.965,2034585.663
2012-01-09,9,12,753.06,3238156.835,3112647.04
2012-01-09,10,12,815.809,3507977.863,3369745.658
2012-01-09,11,12,886.928,3813791.975,3583333.333
2012-01-09,12,12,867.792,3731505.491,3582256.895
2012-01-09,13,12,728.752,3133635.15,3012884.524
2012-01-09,14,12,468.637,2015138.249,1939401.767
2012-01-09,15,12,213.243,916946.316,874882.058
2012-01-09,16,12,74.98,322412.623,294226.644
2012-01-09,17,12,1.15,4945.618,0.0
2012-01-10,6,12,53.024,228004.068,201740.675
2012-01-10,7,12,296.091,1273192.313,1221347.763
2012-01-10,8,12,552.662,2376447.25,2287352.609
2012-01-10,9,12,752.556,3235990.507,3110580.309
2012-01-10,10,12,847.084,3642462.746,3497654.328
2012-01-10,11,12,868.453,3734348.327,3583333.333
2012-01-10,12,12,886.846,3813435.848,3583333.333
2012-01-10,13,12,584.741,2514386.166,2419893.972
2012-01-10,14,12,379.286,1630929.013,1568158.964
2012-01-10,15,12,328.951,1414488.619,1358461.013
2012-01-10,16,12,90.191,387821.254,358258.063
2012-01-10,17,12,1.076,4628.766,0.0
2012-01-11,6,12,34.915,150134.762,125399.142
2012-01-11,7,12,292.891,1259432.225,1207985.816
2012-01-11,8,12,548.474,2358436.587,2270034.56
2012-01-11,9,12,742.941,3194644.489,3071127.412
2012-01-11,10,12,652.927,2807584.472,2701072.902
2012-01-11,11,12,665.918,2863448.286,2754562.327
2012-01-11,12,12,792.29,3406848.871,3273458.785
2012-01-11,13,12,649.233,2791699.979,2685858.623
2012-01-11,14,12,404.947,1741270.525,1674907.281
2012-01-11,15,12,186.091,800192.313,761094.632
2012-01-11,16,12,53.056,228139.624,201873.526
2012-01-11,17,12,1.146,4929.29,0.0
2012-01-12,6,12,17.333,74532.191,51229.707
2012-01-12,7,12,101.009,434337.069,403771.956
2012-01-12,8,12,354.886,1526011.043,1466559.933
2012-01-12,9,12,653.837,2811498.337,2704821.295
2012-01-12,10,12,830.673,3571892.262,3430554.19
2012-01-12,11,12,900.109,3870467.775,3583333.333
2012-01-12,12,12,868.877,3736172.209,3583333.333
2012-01-12,13,12,711.401,3059026.355,2941615.098
2012-01-12,14,12,461.993,1986569.55,1911841.142
2012-01-12,15,12,299.631,1288413.537,1236126.661
2012-01-12,16,12,79.005,339720.741,311173.93
2012-01-12,17,12,0.895,3849.436,0.0
2012-01-13,6,12,57.355,246628.342,219991.777
2012-01-13,7,12,214.605,922799.682,880583.595
2012-01-13,8,12,481.487,2070394.397,1992688.123
2012-01-13,9,12,600.061,2580260.807,2483132.89
2012-01-13,10,12,850.145,3655624.877,3510164.438
2012-01-13,11,12,872.322,3750986.556,3583333.333
2012-01-13,12,12,893.96,3844027.894,3583333.333
2012-01-13,13,12,703.911,3026815.63,2910831.198
2012-01-13,14,12,475.08,2042843.771,1966122.932
2012-01-13,15,12,350.822,1508533.908,1449626.416
2012-01-13,16,12,96.698,415803.028,385639.369
2012-01-13,17,12,1.055,4537.418,0.0
2012-01-14,6,12,54.273,233371.774,207001.137
