day_set,season,season_label,days_averaged,hour,n_days,poa_wm2,dc_w,ac_w
weekdays,winter,Winter,37,0,0,,,
weekdays,winter,Winter,37,1,0,,,
weekdays,winter,Winter,37,2,0,,,
weekdays,winter,Winter,37,3,0,,,
weekdays,winter,Winter,37,4,0,,,
weekdays,winter,Winter,37,5,0,,,
weekdays,winter,Winter,37,6,35,50.652,217805.654,191721.692
weekdays,winter,Winter,37,7,35,243.987,1049142.622,1003070.467
weekdays,winter,Winter,37,8,35,442.166,1901314.107,1827903.835
weekdays,winter,Winter,37,9,36,587.065,2524380.774,2426914.045
weekdays,winter,Winter,37,10,36,699.367,3007276.548,2841618.921
weekdays,winter,Winter,37,11,36,761.263,3273429.239,3028977.812
weekdays,winter,Winter,37,12,35,741.818,3189818.264,2991473.082
weekdays,winter,Winter,37,13,34,617.508,2655283.272,2552936.598
weekdays,winter,Winter,37,14,34,498.032,2141537.373,2060050.311
weekdays,winter,Winter,37,15,34,318.897,1371259.135,1315738.396
weekdays,winter,Winter,37,16,35,101.634,437027.925,406285.506
weekdays,winter,Winter,37,17,36,4.947,21273.752,5857.348
weekdays,winter,Winter,37,18,0,,,
weekdays,winter,Winter,37,19,0,,,
weekdays,winter,Winter,37,20,0,,,
weekdays,winter,Winter,37,21,0,,,
weekdays,winter,Winter,37,22,0,,,
weekdays,winter,Winter,37,23,0,,,
weekdays,spring,Spring,47,0,0,,,
weekdays,spring,Spring,47,1,0,,,
weekdays,spring,Spring,47,2,0,,,
weekdays,spring,Spring,47,3,0,,,
weekdays,spring,Spring,47,4,0,,,
weekdays,spring,Spring,47,5,0,,,
weekdays,spring,Spring,47,6,46,145.791,626900.125,591908.522
weekdays,spring,Spring,47,7,46,337.655,1451915.763,1394337.224
weekdays,spring,Spring,47,8,47,526.511,2263999.16,2177732.156
weekdays,spring,Spring,47,9,47,703.709,3025950.45,2908090.381
weekdays,spring,Spring,47,10,47,784.917,3375144.796,3171191.379
weekdays,spring,Spring,47,11,47,806.468,3467813.269,3180246.155
weekdays,spring,Spring,47,12,47,748.728,3219528.804,3047872.775
weekdays,spring,Spring,47,13,47,627.79,2699496.851,2594342.59
weekdays,spring,Spring,47,14,47,470.803,2024452.002,1946791.496
weekdays,spring,Spring,47,15,47,292.621,1258272.196,1206324.972
weekdays,spring,Spring,47,16,46,129.045,554893.042,521589.856
weekdays,spring,Spring,47,17,46,23.157,99576.684,75800.711
weekdays,spring,Spring,47,18,0,,,
weekdays,spring,Spring,47,19,0,,,
weekdays,spring,Spring,47,20,0,,,
weekdays,spring,Spring,47,21,0,,,
weekdays,spring,Spring,47,22,0,,,
weekdays,spring,Spring,47,23,0,,,
weekdays,summer,Summer,31,0,0,,,
weekdays,summer,Summer,31,1,0,,,
weekdays,summer,Summer,31,2,0,,,
weekdays,summer,Summer,31,3,0,,,
weekdays,summer,Summer,31,4,0,,,
weekdays,summer,Summer,31,5,0,,,
weekdays,summer,Summer,31,6,30,130.479,561059.5,527611.034
weekdays,summer,Summer,31,7,30,310.497,1335136.077,1281191.027
weekdays,summer,Summer,31,8,30,479.502,2061858.271,1983639.813
weekdays,summer,Summer,31,9,30,617.682,2656034.033,2554657.622
weekdays,summer,Summer,31,10,30,712.881,3065389.865,2945886.298
weekdays,summer,Summer,31,11,31,744.862,3202906.451,3066941.371
weekdays,summer,Summer,31,12,31,692.946,2979666.317,2863277.804
weekdays,summer,Summer,31,13,31,617.413,2654877.383,2553450.878
weekdays,summer,Summer,31,14,31,451.229,1940283.138,1866221.184
weekdays,summer,Summer,31,15,30,266.808,1147273.661,1098539.56
weekdays,summer,Summer,31,16,30,122.906,528493.796,495798.192
weekdays,summer,Summer,31,17,30,29.403,126434.678,102145.346
weekdays,summer,Summer,31,18,0,,,
weekdays,summer,Summer,31,19,0,,,
weekdays,summer,Summer,31,20,0,,,
weekdays,summer,Summer,31,21,0,,,
weekdays,summer,Summer,31,22,0,,,
weekdays,summer,Summer,31,23,0,,,
weekdays,fall,Fall,28,0,0,,,
weekdays,fall,Fall,28,1,0,,,
weekdays,fall,Fall,28,2,0,,,
weekdays,fall,Fall,28,3,0,,,
weekdays,fall,Fall,28,4,0,,,
weekdays,fall,Fall,28,5,0,,,
weekdays,fall,Fall,28,6,28,118.806,510867.677,478557.701
weekdays,fall,Fall,28,7,28,288.167,1239120.127,1187942.954
weekdays,fall,Fall,28,8,28,464.15,1995847.009,1920013.992
weekdays,fall,Fall,28,9,28,562.141,2417206.365,2324946.561
weekdays,fall,Fall,28,10,28,634.454,2728152.915,2623471.192
weekdays,fall,Fall,28,11,28,648.395,2788100.555,2675993.542
weekdays,fall,Fall,28,12,26,615.145,2645124.337,2543986.655
weekdays,fall,Fall,28,13,26,483.917,2080843.979,2001666.388
weekdays,fall,Fall,28,14,26,349.521,1502940.963,1443368.062
weekdays,fall,Fall,28,15,26,192.245,826654.19,786585.102
weekdays,fall,Fall,28,16,26,51.899,223166.855,196951.503
weekdays,fall,Fall,28,17,26,2.178,9365.793,2863.039
weekdays,fall,Fall,28,18,0,,,
weekdays,fall,Fall,28,19,0,,,
weekdays,fall,Fall,28,20,0,,,
weekdays,fall,Fall,28,21,0,,,
weekdays,fall,Fall,28,22,0,,,
weekdays,fall,Fall,28,23,0,,,
all_days,winter,Winter,51,0,0,,,
all_days,winter,Winter,51,1,0,,,
all_days,winter,Winter,51,2,0,,,
all_days,winter,Winter,51,3,0,,,
all_days,winter,Winter,51,4,0,,,
all_days,winter,Winter,51,5,0,,,
all_days,winter,Winter,51,6,49,51.17,220031.877,193908.042
all_days,winter,Winter,51,7,49,245.683,1056438.655,1010233.66
all_days,winter,Winter,51,8,49,453.094,1948304.066,1873523.295
all_days,winter,Winter,51,9,50,597.311,2568439.02,2469093.016
all_days,winter,Winter,51,10,50,710.099,3053426.331,2873468.585
all_days,winter,Winter,51,11,50,747.871,3215847.27,2953296.137
all_days,winter,Winter,51,12,49,736.046,3164996.893,2962918.439
all_days,winter,Winter,51,13,48,616.311,2650137.402,2547560.222
all_days,winter,Winter,51,14,48,489.582,2105202.785,2024774.413
all_days,winter,Winter,51,15,48,307.07,1320398.95,1266238.883
all_days,winter,Winter,51,16,49,99.84,429312.408,398723.569
all_days,winter,Winter,51,17,50,4.819,20723.52,5648.283
all_days,winter,Winter,51,18,0,,,
all_days,winter,Winter,51,19,0,,,
all_days,winter,Winter,51,20,0,,,
all_days,winter,Winter,51,21,0,,,
all_days,winter,Winter,51,22,0,,,
all_days,winter,Winter,51,23,0,,,
all_days,spring,Spring,65,0,0,,,
all_days,spring,Spring,65,1,0,,,
all_days,spring,Spring,65,2,0,,,
all_days,spring,Spring,65,3,0,,,
all_days,spring,Spring,65,4,0,,,
all_days,spring,Spring,65,5,0,,,
all_days,spring,Spring,65,6,64,143.98,619113.544,584293.148
all_days,spring,Spring,65,7,64,336.363,1446361.674,1388906.706
all_days,spring,Spring,65,8,65,527.552,2268475.594,2182102.503
all_days,spring,Spring,65,9,65,693.99,2984156.023,2868183.0
